post,time,post.2,MONAT_NR_STA,y1_,pred,counterfactual,group_intervention,counterfactual_long
-54,-54,0,1,0.046566450051537304,0.04691502482300257,0.04691502482300257,1,NA
-53,-53,0,2,0.04541554344312173,0.04635982494920773,0.04635982494920773,1,NA
-52,-52,0,3,0.05208304949731554,0.046863102999588666,0.046863102999588666,1,NA
-51,-51,0,4,0.04893574591973965,0.04375504822459344,0.04375504822459344,1,NA
-50,-50,0,5,0.0500105213448611,0.05016784662870253,0.05016784662870253,1,NA
-49,-49,0,6,0.04914229457556987,0.04809065818619877,0.04809065818619877,1,NA
-48,-48,0,7,0.038798862186277906,0.03904842258335457,0.03904842258335457,1,NA
-47,-47,0,8,0.04432132712792183,0.045106233242094916,0.045106233242094916,1,NA
-46,-46,0,9,0.04929686654919692,0.05034927297128182,0.05034927297128182,1,NA
-45,-45,0,10,0.051225322108251876,0.05061608946308143,0.05061608946308143,1,NA
-44,-44,0,11,0.057263385128463316,0.054586499911346203,0.054586499911346203,1,NA
-43,-43,0,12,0.0451058970652047,0.04459080786998164,0.04459080786998164,1,NA
-42,-42,0,1,0.048509703539400255,0.04974605648415381,0.04974605648415381,1,NA
-41,-41,0,2,0.04702073641565349,0.04954322971751404,0.04954322971751404,1,NA
-40,-40,0,3,0.0523264813715498,0.04997013226285937,0.04997013226285937,1,NA
-39,-39,0,4,0.04778965365194525,0.04654471609839382,0.04654471609839382,1,NA
-38,-38,0,5,0.05273503294286556,0.05293370853911789,0.05293370853911789,1,NA
-37,-37,0,6,0.04767352735807562,0.05085810455859005,0.05085810455859005,1,NA
-36,-36,0,7,0.04004303549797785,0.04242658313891083,0.04242658313891083,1,NA
-35,-35,0,8,0.04765761934475983,0.04769028933577173,0.04769028933577173,1,NA
-34,-34,0,9,0.05304865286502632,0.05360574782917179,0.05360574782917179,1,NA
-33,-33,0,10,0.053315936644045124,0.05385248041980265,0.05385248041980265,1,NA
-32,-32,0,11,0.05878678599532078,0.057933977233955845,0.057933977233955845,1,NA
-31,-31,0,12,0.04722540686981402,0.047795604780026285,0.047795604780026285,1,NA
-30,-30,0,1,0.052947440111871635,0.054054428958379315,0.054054428958379315,1,NA
-29,-29,0,2,0.050903558435904106,0.05306044363800573,0.05306044363800573,1,NA
-28,-28,0,3,0.03682313145136855,0.05353356596517439,0.05353356596517439,1,NA
-27,-27,0,4,0.03820274610589448,0.04952710868145214,0.04952710868145214,1,NA
-26,-26,0,5,0.05972433166675015,0.05715367238765921,0.05715367238765921,1,NA
-25,-25,0,6,0.06164038845509736,0.0552184248855329,0.0552184248855329,1,NA
-24,-24,0,7,0.05152528806160785,0.04679771103091292,0.04679771103091292,1,NA
-23,-23,0,8,0.05236638280494488,0.05146206958878549,0.05146206958878549,1,NA
-22,-22,0,9,0.05892621547346175,0.05789882105209519,0.05789882105209519,1,NA
-21,-21,0,10,0.05866694892258802,0.05779889555079839,0.05779889555079839,1,NA
-20,-20,0,11,0.05992605559724435,0.062291379007991206,0.062291379007991206,1,NA
-19,-19,0,12,0.05181108182883281,0.0518790948087451,0.0518790948087451,1,NA
-18,-18,0,1,0.060080057628390963,0.05792863894043244,0.05792863894043244,1,NA
-17,-17,0,2,0.059070691977755885,0.057421019165648984,0.057421019165648984,1,NA
-16,-16,0,3,0.06330719056875399,0.058351783538600314,0.058351783538600314,1,NA
-14,-15,0,4,0.05786892964135313,0.05464187439574175,0.05464187439574175,2,0.05464187439574175
-14,-14,0,5,0.056896935064205754,0.05813420031882874,0.06116994899643827,2,0.06116994899643827
-13,-13,0,6,0.05715034533778172,0.05582626863183083,0.058963567035488974,2,0.058963567035488974
-12,-12,0,7,0.0447770114823167,0.046915403548406814,0.05015425167811351,2,0.05015425167811351
-11,-11,0,8,0.052251144408422684,0.05238690311942585,0.05572730097518056,2,0.05572730097518056
-10,-10,0,9,0.058960527261271614,0.05848594797534619,0.06192789555714938,2,0.06192789555714938
-9,-9,0,10,0.05695694073585201,0.05787064579851355,0.061414143106364914,2,0.061414143106364914
-8,-8,0,11,0.06142822640481275,0.0624354773376269,0.066080524371526575,2,0.066080524371526575
-7,-7,0,12,0.05215611793252227,0.05201036602018775,0.05575696278013565,2,0.05575696278013565
-6,-6,0,1,0.05829958606479418,0.05778274944478898,0.06163089593078516,2,0.06163089593078516
-5,-5,0,2,0.060928642029436327,0.057043033917454224,0.06099273012949877,2,0.06099273012949877
-4,-4,0,3,0.0621503793669757,0.057806424649725664,0.06185767058781832,2,0.06185767058781832
-3,-3,0,4,0.0549713906234588,0.05388925382919022,0.058042049493331326,2,0.058042049493331326
-2,-2,0,5,0.060132777297078624,0.06103523893324563,0.06528958432343529,2,0.06528958432343529
-1,-1,0,6,0.05280132091268182,0.05853393874025322,0.06288983385649101,2,0.06288983385649101
1,0,1,7,0.024253920337448408,0.018036226214215554,0.05013009444779565,2,0.05013009444779565
1,1,1,8,0.02086905926003367,0.0214299711707463,0.053984456099702476,2,0.053984456099702476
1,2,1,9,0.025355657800678087,0.026733861436773605,0.059748963061105866,2,0.059748963061105866
1,3,1,10,0.022746407277907575,0.025631985334763685,0.059107703654471856,2,0.059107703654471856
1,4,1,11,0.025449315036795876,0.029085752689108235,0.06302208770419225,2,0.06302208770419225
1,5,1,12,0.020283102086637035,0.01946602492466654,0.05386297663512692,2,0.05386297663512692
1,6,1,1,0.023184472779634573,0.0246182768047162,0.05947584521055252,2,0.05947584521055252
1,7,1,2,0.023079947331987656,0.0237618962299557,0.059080081331168106,2,0.059080081331168106
1,8,1,3,0.024938286723981264,0.023909235611148185,0.05968803740773681,2,0.05968803740773681
1,9,1,4,0.022499758194874236,0.019714449796726263,0.05595386828869061,2,0.05595386828869061
1,10,1,5,0.02486367743539681,0.025152069689138724,0.061852104876479325,2,0.061852104876479325
1,11,1,6,0.023374317255516683,0.022681224635611816,0.059841876518328375,2,0.059841876518328375
